bid,rating,user
3189,0,daniel
1210,0,daniel
1095,1,daniel
2523,0,daniel
1250,1,daniel
4,0,daniel
196,0,daniel
1636,1,daniel
1733,0,daniel
2734,1,daniel
577,0,daniel
197,1,daniel
4677,1,daniel
745,0,daniel
849,0,daniel
1925,1,daniel
3528,0,daniel
1964,0,daniel
568,1,daniel
4632,1,daniel
4417,0,daniel
3566,0,daniel
2614,1,daniel
4646,1,daniel
815,0,daniel
18,1,daniel
522,1,daniel
2927,0,daniel
701,0,daniel
2671,0,daniel
4363,1,daniel
37,1,daniel
1255,1,daniel
4400,0,daniel
538,0,daniel
3854,1,daniel
2783,1,daniel
4510,0,daniel
3927,1,daniel
3216,1,daniel
1231,1,daniel
1655,0,daniel
179,0,daniel
698,0,daniel
805,1,daniel
2707,0,daniel
2918,0,daniel
2696,0,daniel
2185,0,daniel
723,1,daniel
1552,1,daniel
650,0,daniel
642,0,daniel
1528,1,daniel
1034,0,daniel
266,0,daniel
3133,1,daniel
4569,1,daniel
109,0,daniel
1149,1,daniel
1195,0,daniel
1254,1,daniel
2299,0,daniel
2270,1,daniel
378,1,daniel
4571,0,daniel
1459,1,daniel
4738,0,daniel
3768,0,daniel
4672,1,daniel
999,0,daniel
1583,0,daniel
17,0,daniel
310,0,daniel
2711,0,daniel
1744,0,daniel
2006,0,daniel
61,1,daniel
583,0,daniel
4674,0,daniel
156,0,daniel
3410,0,daniel
3605,0,daniel
1826,1,daniel
746,0,daniel
2910,0,daniel
718,1,daniel
5,0,daniel
3507,1,daniel
4658,0,daniel
4150,1,daniel
3732,0,daniel
3950,0,daniel
9,1,daniel
4459,1,daniel
4585,0,daniel
3780,1,daniel
571,0,daniel
533,1,daniel
2475,0,daniel
805,0,Ethan
4632,0,Ethan
4400,0,Ethan
3780,1,Ethan
1095,0,Ethan
4672,1,Ethan
999,0,Ethan
4,1,Ethan
9,1,Ethan
746,0,Ethan
4417,0,Ethan
723,1,Ethan
109,1,Ethan
4150,0,Ethan
1964,0,Ethan
2783,0,Ethan
5,0,Ethan
568,0,Ethan
1733,1,Ethan
2918,1,Ethan
583,1,Ethan
2671,0,Ethan
37,0,Ethan
1254,1,Ethan
815,0,Ethan
3605,0,Ethan
571,0,Ethan
4585,0,Ethan
745,1,Ethan
179,1,Ethan
3566,0,Ethan
156,0,Ethan
1925,0,Ethan
17,0,Ethan
1255,0,Ethan
1655,1,Ethan
2734,1,Ethan
196,0,Ethan
2270,1,Ethan
2475,1,Ethan
642,0,Ethan
3950,0,Ethan
718,1,Ethan
522,1,Ethan
3507,1,Ethan
4571,0,Ethan
310,0,Ethan
533,1,Ethan
3854,1,Ethan
3732,0,Ethan
701,1,Ethan
1231,1,Ethan
650,1,Ethan
4569,0,Ethan
577,0,Ethan
3216,0,Ethan
3189,0,Ethan
4658,0,Ethan
3528,1,Ethan
4646,1,Ethan
61,1,Ethan
197,0,Ethan
698,0,Ethan
2696,0,Ethan
1250,0,Ethan
2711,1,Ethan
266,1,Ethan
3410,0,Ethan
3927,0,Ethan
1195,0,Ethan
4363,0,Ethan
1034,0,Ethan
4459,0,Ethan
1826,0,Ethan
538,1,Ethan
849,1,Ethan
1149,0,Ethan
1210,0,Ethan
1636,1,Ethan
2185,1,Ethan
2006,0,Ethan
2910,0,Ethan
2299,1,Ethan
3768,0,Ethan
4674,0,Ethan
4510,1,Ethan
378,1,Ethan
4677,0,Ethan
4738,0,Ethan
1744,0,Ethan
2614,0,Ethan
1459,0,Ethan
2927,0,Ethan
2707,0,Ethan
18,1,Ethan
1552,1,Ethan
1528,1,Ethan
2523,0,Ethan
3133,0,Ethan
1583,1,Ethan
37,1,fabien
3732,1,fabien
2918,1,fabien
2475,0,fabien
4569,1,fabien
815,0,fabien
2523,1,fabien
3927,0,fabien
4632,1,fabien
805,1,fabien
2185,1,fabien
4672,1,fabien
4510,0,fabien
378,1,fabien
698,0,fabien
1528,0,fabien
9,1,fabien
156,0,fabien
1210,0,fabien
2711,0,fabien
1826,1,fabien
849,1,fabien
2910,0,fabien
1655,0,fabien
577,0,fabien
1925,1,fabien
2696,0,fabien
1459,1,fabien
999,0,fabien
18,1,fabien
3605,1,fabien
109,1,fabien
3189,0,fabien
583,0,fabien
4646,1,fabien
2270,0,fabien
1744,0,fabien
522,1,fabien
1636,1,fabien
568,1,fabien
4,1,fabien
1733,0,fabien
1255,0,fabien
1231,0,fabien
1195,1,fabien
4677,1,fabien
642,0,fabien
1552,1,fabien
538,1,fabien
2734,1,fabien
2927,0,fabien
701,0,fabien
1250,0,fabien
745,0,fabien
723,1,fabien
3566,0,fabien
5,0,fabien
17,1,fabien
179,1,fabien
4459,0,fabien
4585,0,fabien
3528,1,fabien
196,1,fabien
1095,1,fabien
