uid,bid,rating
01a94a02-93e3-45bf-aef8-54e7a19987d7,997,yes
01a94a02-93e3-45bf-aef8-54e7a19987d7,752,no
01a94a02-93e3-45bf-aef8-54e7a19987d7,4031,yes
01a94a02-93e3-45bf-aef8-54e7a19987d7,1336,no
01a94a02-93e3-45bf-aef8-54e7a19987d7,3827,no
01a94a02-93e3-45bf-aef8-54e7a19987d7,3721,no
01a94a02-93e3-45bf-aef8-54e7a19987d7,1405,yes
01a94a02-93e3-45bf-aef8-54e7a19987d7,2144,no
01a94a02-93e3-45bf-aef8-54e7a19987d7,106,yes
01a94a02-93e3-45bf-aef8-54e7a19987d7,4719,yes
01a94a02-93e3-45bf-aef8-54e7a19987d7,1332,yes
01a94a02-93e3-45bf-aef8-54e7a19987d7,3455,no
01a94a02-93e3-45bf-aef8-54e7a19987d7,4094,no
01a94a02-93e3-45bf-aef8-54e7a19987d7,1246,no
01a94a02-93e3-45bf-aef8-54e7a19987d7,1583,no
01a94a02-93e3-45bf-aef8-54e7a19987d7,1137,yes
01a94a02-93e3-45bf-aef8-54e7a19987d7,9,yes
01a94a02-93e3-45bf-aef8-54e7a19987d7,2764,no
01a94a02-93e3-45bf-aef8-54e7a19987d7,2625,yes
01a94a02-93e3-45bf-aef8-54e7a19987d7,3379,yes
01a94a02-93e3-45bf-aef8-54e7a19987d7,3681,yes
01a94a02-93e3-45bf-aef8-54e7a19987d7,3993,yes
01a94a02-93e3-45bf-aef8-54e7a19987d7,4566,no
01a94a02-93e3-45bf-aef8-54e7a19987d7,2827,no
01a94a02-93e3-45bf-aef8-54e7a19987d7,3982,yes
01a94a02-93e3-45bf-aef8-54e7a19987d7,1555,no
01a94a02-93e3-45bf-aef8-54e7a19987d7,2710,no
01a94a02-93e3-45bf-aef8-54e7a19987d7,433,no
01a94a02-93e3-45bf-aef8-54e7a19987d7,2706,yes
01a94a02-93e3-45bf-aef8-54e7a19987d7,4036,yes
01a94a02-93e3-45bf-aef8-54e7a19987d7,3134,yes
01a94a02-93e3-45bf-aef8-54e7a19987d7,1303,yes
01a94a02-93e3-45bf-aef8-54e7a19987d7,3730,yes
01a94a02-93e3-45bf-aef8-54e7a19987d7,4785,yes
01a94a02-93e3-45bf-aef8-54e7a19987d7,4172,yes
01a94a02-93e3-45bf-aef8-54e7a19987d7,4547,yes
01a94a02-93e3-45bf-aef8-54e7a19987d7,4240,no
01a94a02-93e3-45bf-aef8-54e7a19987d7,1280,no
01a94a02-93e3-45bf-aef8-54e7a19987d7,3012,no
01a94a02-93e3-45bf-aef8-54e7a19987d7,3381,no
01a94a02-93e3-45bf-aef8-54e7a19987d7,3542,no
